Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange2_ATR_Period,InpRange2_ATR_Multiplier,InpRange2_SL_ATR_Period,InpRange2_SL_ATR_Multiplier,InpRange2_Trailing_ATR_Period,InpRange2_Trailing_ATR_Multiplier,InpRange2_RR_Ratio,InpRange2_PartialClosePercent
2447,1336.00,3369.25,4.79950,1.18655,3.23795,2.22961,1336,16.60,702,true,35,3,23,2.25,35,1,1.5,41
2226,1336.00,3369.25,4.79950,1.18655,3.23795,2.22961,1336,16.60,702,true,35,3,23,2.25,120,1,1.5,41
2495,1328.00,3279.79,5.30710,1.20857,3.45561,2.25360,1328,16.15,618,true,11,2.88,12,1.8,98,1.2,1.65,46
3930,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,120,1.65,80,1.2,2.4,56
3644,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,80,1.65,106,1.2,2.4,56
3588,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,132,1.65,106,1.2,2.4,56
3536,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,86,1.65,106,1.2,2.4,56
3051,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,64,1.65,37,1.2,2.4,56
2945,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,125,1.65,129,1.2,2.4,56
2838,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,138,1.65,131,1.2,2.4,56
2709,1327.00,6380.22,9.49438,1.25282,4.47609,2.98126,1327,20.61,672,true,27,2.76,85,1.65,97,1.2,2.4,56
2715,1319.00,8110.39,11.18675,1.22545,3.94371,3.11580,1319,17.54,725,true,102,2.88,20,1.65,78,2.7,2.4,41
2540,1310.00,4387.59,6.31308,1.18464,2.68146,2.22419,1310,17.69,695,true,21,2.76,27,1.5,119,2.5,1.8,16
1804,1310.00,4387.59,6.31308,1.18464,2.68146,2.22419,1310,17.69,695,true,21,2.76,27,1.5,39,2.5,1.8,16
3456,1302.00,4202.44,6.40616,1.19909,3.11322,2.15104,1302,17.74,656,true,34,3,130,1.65,40,2.7,2.4,41
2291,1302.00,4633.33,7.74804,1.20774,3.69175,1.79344,1302,19.17,598,true,26,2.76,59,1.5,108,1,4.5,26
2586,1300.00,4709.61,6.77642,1.19314,2.73762,2.32140,1300,17.95,695,true,21,2.76,107,1.5,26,2.3,1.8,6
2013,1300.00,4709.61,6.77642,1.19314,2.73762,2.32140,1300,17.95,695,true,21,2.76,125,1.5,128,2.3,1.8,6
1021,1300.00,4709.61,6.77642,1.19314,2.73762,2.32140,1300,17.95,695,true,21,2.76,27,1.5,39,2.3,1.8,6
1559,1296.00,4222.31,5.93021,1.18956,3.34844,2.18064,1296,16.12,712,false,26,3,42,1.95,107,1.5,2.25,96
3252,1294.00,6449.16,10.25304,1.28357,5.30799,2.55365,1294,12.34,629,true,27,2.76,13,1.65,129,1,3.3,76
1829,1285.00,7458.42,10.28748,1.21270,4.00087,3.33021,1285,14.76,725,true,102,2.88,20,1.65,78,1.3,2.4,71
1512,1285.00,7458.42,10.28748,1.21270,4.00087,3.33021,1285,14.76,725,true,102,2.88,22,1.65,78,1.3,2.4,71
1709,1275.00,5416.96,8.06095,1.22277,3.16145,2.78016,1275,19.25,672,true,35,3,135,1.5,100,2.2,2.1,56
1521,1275.00,5416.96,8.06095,1.22277,3.16145,2.78016,1275,19.25,672,true,35,3,109,1.5,67,2.2,2.1,56
2718,1249.00,4762.57,7.11894,1.20956,3.07112,2.27202,1249,18.97,669,true,35,3,135,1.5,100,2.8,2.25,21
3077,1245.00,4119.39,5.91866,1.19047,3.11325,2.60582,1245,16.64,696,true,27,2.88,24,1.65,46,1.2,1.65,46
2281,1245.00,4043.31,6.12623,1.18760,3.00694,2.07814,1245,17.71,660,true,35,3,135,1.65,56,2.7,2.4,41
2948,1241.00,3783.62,5.24774,1.18103,2.91512,2.30560,1241,16.80,721,true,26,2.76,59,1.65,36,1.6,1.5,21
2885,1237.00,4247.18,6.13754,1.18921,3.50141,2.41848,1237,18.22,692,true,27,2.76,50,1.65,55,1.3,1.95,61
