Pass	Result	Profit	Expected Payoff	Profit Factor	Recovery Factor	Sharpe Ratio	Custom	Equity DD %	Trades	Inp_Invalidation_Mode	Inp_Confirmation_Strategy	Inp_Confirmation_Timeout	Inp_PriceConfirmation_Enabled	Inp_Placement_ATR_Period	Inp_Placement_ATR_Multiplier	Inp_Placement_Percent_Value	Inp_SL_ATR_Period	Inp_SL_ATR_Multiplier	Inp_Trailing_ATR_Period	Inp_Trailing_ATR_Multiplier	Inp_RR_Ratio	Inp_PartialClosePercent	Inp_Pullback_StopBuffer_Points	Inp_BE_Buffer_Points	Inp_Trailing_MinChange_Points	Inp_BoundaryDetectionMode	Inp_IchimokuFilter_Enabled	Inp_AdaptiveEntry_Enabled	Inp_AdaptiveMode	Inp_IchimokuMode	Inp_MinCandleBodyRatio	Inp_ExplosiveCandleBodyRatio	Inp_MA_Fast_Period	Inp_MA_Slow_Period	Inp_Market_RR_Ratio	Inp_Market_PartialClosePercent	Inp_Market_BE_Buffer_Points	Inp_AdaptiveSL_Enabled	InpRange1_Enabled	InpRange1_Placement_Mode	InpRange1_SL_Strategy	InpRange1_SL_Calc_Mode	InpRange1_Trailing_Mode	InpRange1_Cleanup_Hours	InpRange1_QualityFilter	InpRange2_Enabled	InpRange2_Execution_Timeframe	InpRange2_TrendFilter_Timeframe	InpRange2_Placement_Mode	InpRange2_SL_Strategy	InpRange2_SL_Calc_Mode	InpRange2_Trailing_Mode	InpRange2_Cleanup_Hours	InpRange2_QualityFilter	InpRange3_Enabled	InpRange3_Execution_Timeframe	InpRange3_TrendFilter_Timeframe	InpRange3_Placement_Mode	InpRange3_SL_Strategy	InpRange3_SL_Calc_Mode	InpRange3_Trailing_Mode	InpRange3_Cleanup_Hours	InpRange3_QualityFilter	InpRange4_Enabled	InpRange4_Execution_Timeframe	InpRange4_TrendFilter_Timeframe	InpRange4_Placement_Mode	InpRange4_SL_Strategy	InpRange4_SL_Calc_Mode	InpRange4_Trailing_Mode	InpRange4_Cleanup_Hours	InpRange4_QualityFilter	Column1
16553	1062646.64	1057646.64	1541.75895	1.61870	1.73685	2.16762	417	49.52	686	1	0	11	true	140	1.5	1.33	51	1.2	20	1.4	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
19128	961116.37	956116.37	1329.78633	1.53300	1.71234	2.28202	420	48.86	719	1	0	11	true	140	1.5	1.33	54	0.5	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	0	0	18	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
18286	925147.98	920147.98	1272.68047	1.51520	1.70681	2.26604	420	48.03	723	1	0	11	true	156	1.5	1.33	54	0.5	20	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	0	0	18	0	true	2	15	1	1	1	1	18	0	true	3	12	0	1	1	1	10	1	true	5	4	1	0	1	0	11	1	TRUE
19193	915976.67	910976.67	1265.24538	1.51479	1.67174	2.26450	420	48.55	720	1	0	11	true	140	1.5	1.36	51	0.5	21	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	0	0	18	0	true	2	15	1	1	1	1	18	0	true	3	12	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
15959	696523.08	691523.08	1006.58381	1.61285	1.73543	2.07335	417	49.01	687	1	0	11	true	140	1.5	1.33	51	1.2	32	1.5	1.5	90	40	15	41	1	true	true	0	0	0.5	0.8	28	20	2.9	46	7	true	true	1	1	1	0	23	0	true	2	20	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
19917	627327.64	622327.64	907.18315	1.56781	2.03909	2.06318	417	45.67	686	1	0	11	true	156	1.5	1.36	51	2.1	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3.1	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
19673	607771.22	602771.22	684.96730	1.39732	1.68685	2.07997	433	40.63	880	1	0	11	true	140	1.5	1.36	54	0.5	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	2.9	46	7	true	true	0	1	1	0	18	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
20083	603028.79	598028.79	874.31110	1.55767	1.93996	2.05365	417	46.80	684	1	0	11	true	140	1.5	1.36	54	2	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3.1	46	7	true	true	1	1	1	0	15	0	true	2	15	1	1	1	0	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
18909	602905.05	597905.05	871.58171	1.54329	1.96088	2.04587	417	45.64	686	1	0	11	true	140	1.5	1.33	51	2.1	21	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	19	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
18625	588001.79	583001.79	849.85684	1.54992	1.91968	2.04388	417	46.81	686	1	0	11	true	124	1.5	1.36	54	2	20	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	0	23	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
19505	585563.02	580563.02	655.26300	1.40654	1.57555	2.07221	433	43.58	886	1	0	11	true	156	1.5	1.33	51	0.5	20	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	2.9	46	7	true	true	0	1	1	0	18	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
